,ID_,building,COUNTRY,CLC_2012,AREA_m2,07/02/2020,10/02/2020,15/02/2020,04/10/2020,31/10/2020,23/03/2021,LAT,LON
0,0_UKC11,retail,UK,3,46237.1066,40,40,40,0,0,0,54.68402472,-1.213242051
1,1_UKC11,yes,UK,2,6151.791556,5,3,3,0,0,0,54.57031481,-1.341109426
2,2_UKC11,school,UK,10,882.7842056,0,0,0,0,0,0,54.56554834,-1.339704493
3,3_UKC11,retail,UK,2,672.8937473,0,0,0,0,0,0,54.57346908,-1.350100813
4,4_UKC11,yes,UK,2,462.4346962,0,0,0,0,0,0,54.57329741,-1.349583659
5,5_UKC11,yes,UK,2,985.4372719,0,0,0,0,0,0,54.57362679,-1.350828685
6,6_UKC11,yes,UK,2,735.3994403,0,0,0,0,0,0,54.57318294,-1.35092907
7,7_UKC11,yes,UK,1,1129.576588,0,0,0,0,0,0,54.68567957,-1.213295455
8,8_UKC11,yes,UK,1,5492.384088,4,4,4,0,0,0,54.68577782,-1.214471118
9,9_UKC11,yes,UK,1,1211.418861,1,1,1,0,0,0,54.68628756,-1.214888585
10,10_UKC11,dormitory,UK,2,533.4913302,0,0,0,0,0,0,54.55887531,-1.305206347
11,11_UKC11,university,UK,2,1033.377557,0,0,0,0,0,0,54.56068854,-1.305234026
12,12_UKC11,train_station,UK,2,148.3886887,0,0,0,0,0,0,54.558956,-1.302154609
13,13_UKC11,university,UK,2,5271.799573,4,4,4,0,0,0,54.56352188,-1.298573337
14,14_UKC11,residential,UK,2,1882.566294,1,1,1,0,0,0,54.56160252,-1.295120316
15,15_UKC11,university,UK,2,2906.804225,2,2,2,0,0,0,54.56296047,-1.29611126
16,16_UKC11,university,UK,44,2742.215151,0,0,0,0,0,0,54.56356555,-1.296421122
17,17_UKC11,yes,UK,2,2525.678167,2,1,1,0,0,0,54.57093392,-1.305811041
18,18_UKC11,industrial,UK,3,2818.38441,2,2,2,0,0,0,54.59322241,-1.262579542
19,19_UKC11,industrial,UK,3,2667.879943,2,2,2,0,0,0,54.59409021,-1.262291917
20,20_UKC11,yes,UK,2,699.7799053,0,0,0,0,0,0,54.57202854,-1.359801235
21,21_UKC11,yes,UK,2,316.6435535,0,0,0,0,0,0,54.57803447,-1.360682744
22,22_UKC11,retail,UK,1,494.9627742,0,0,0,0,0,0,54.56341054,-1.312926275
23,23_UKC11,yes,UK,5,10555.18183,9,9,9,0,0,0,54.68958437,-1.210342338
24,24_UKC11,yes,UK,2,13993.81578,12,8,8,0,0,0,54.59311642,-1.353275731
25,25_UKC11,yes,UK,2,4075.63172,3,2,2,0,0,0,54.5722376,-1.339277138
