,building,RISK_ID,COUNTRY,LAT,LON,CLC_2012,AREA_m2,13/01/1984,14/01/1984,18/01/1995,24/01/2009,01/02/1983,25/03/1986,26/02/1990,28/02/1990,04/01/1998,11/02/1990,07/02/1996,27/12/1999,25/01/1990,11/02/2009,03/01/2012,28/01/1994,26/12/1999,16/12/2011,01/02/2008,25/11/1992,26/12/1998,16/10/1987,05/12/2013,08/02/1988,13/01/1993,07/01/2005,24/12/1997,27/01/2002,27/02/2010,23/11/1984,03/02/1990,08/02/1990,28/12/2011,30/10/2000,28/10/2013,22/10/1986,18/01/1983,20/01/1986,08/01/1991,18/01/2007,08/12/1993,05/11/1996,11/01/2005,03/12/1999,27/10/2002,27/10/1996,02/03/2008,28/10/1998,02/11/1981,26/12/2011,29/11/1988,28/03/1997,23/01/1993
0,42517,UKC11_41,UK,54.48280053,-1.417610599,12,175.1231934,0.388239723,7.76479447,0,0,54.58650512,0,0.388239723,0.077647945,0,0,0,0,0,0,0,0,0,0,0,0,7.76479447,0,0,7.76479447,0,614.6611302,0.077647945,7.76479447,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155295889,0,0.155295889,0,0,0,0,0,0,0,0,0.116471917
1,42528,UKC11_42,UK,54.53969739,-1.414241975,18,11733.26416,540.2203768,1620.661131,0,0,5426.513685,0,1620.661131,0,0,0,0,0,0,0,0,0,0,0,0,0,540.2203768,0,0,540.2203768,0,34033.88374,27.01101884,1620.661131,0,0,0,0,0,0,0,0,0,0,0,0,0,27.01101884,0,27.01101884,0,0,0,0,0,0,0,0,10.80440754
2,42580,UKC11_43,UK,54.52589615,-1.384662275,3,30151.0795,66.84349764,1336.869953,0,0,9398.195769,0,1336.869953,0,0,0,0,0,0,0,0,0,0,0,0,0,1336.869953,0,0,1336.869953,0,84222.80703,20.05304929,1336.869953,0,0,0,0,0,0,0,0,0,0,0,0,0,66.84349764,0,66.84349764,0,0,0,0,0,0,0,0,26.73739906
3,42614,UKC11_44,UK,54.56547411,-1.407158852,12,10080.05895,446.940148,1340.820444,0,0,4489.513786,0,1340.820444,0,0,0,0,0,0,0,0,0,0,0,0,0,446.940148,0,0,446.940148,0,28157.22932,22.3470074,1340.820444,0,0,0,0,0,0,0,0,0,0,0,0,0,22.3470074,0,22.3470074,0,0,0,0,0,0,0,0,8.938802959
4,42709,UKC11_47,UK,54.49386502,-1.417981653,18,5118.989522,11.78436968,235.6873936,0,0,1656.882377,0,235.6873936,0,0,0,0,0,0,0,0,0,0,0,0,0,235.6873936,0,0,235.6873936,0,14848.3058,3.535310904,235.6873936,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78436968,0,11.78436968,0,0,0,0,0,0,0,0,4.713747872
5,42726,UKC11_55,UK,54.52744044,-1.383548509,3,353.5129446,0.783721249,15.67442498,0,0,110.1912076,0,15.67442498,0,0,0,0,0,0,0,0,0,0,0,0,0,15.67442498,0,0,15.67442498,0,987.4887736,0.235116375,15.67442498,0,0,0,0,0,0,0,0,0,0,0,0,0,0.783721249,0,0.783721249,0,0,0,0,0,0,0,0,0.3134885
6,42815,UKC11_56,UK,54.53659744,-1.442496334,12,5080.715916,225.2740718,675.8222153,0,0,2262.878051,0,675.8222153,0,0,0,0,0,0,0,0,0,0,0,0,0,225.2740718,0,0,225.2740718,0,14192.26652,11.26370359,675.8222153,0,0,0,0,0,0,0,0,0,0,0,0,0,11.26370359,0,11.26370359,0,0,0,0,0,0,0,0,4.505481436
7,42817,UKC11_57,UK,54.5385743,-1.418217329,12,4130.456501,183.1404805,549.4214416,0,0,1839.646127,0,549.4214416,0,0,0,0,0,0,0,0,0,0,0,0,0,183.1404805,0,0,183.1404805,0,11537.85027,9.157024027,549.4214416,0,0,0,0,0,0,0,0,0,0,0,0,0,9.157024027,0,9.157024027,0,0,0,0,0,0,0,0,3.662809611
8,42818,UKC11_58,UK,54.5399784,-1.417266893,12,2482.446568,110.0693004,330.2079013,0,0,1105.646123,0,330.2079013,0,0,0,0,0,0,0,0,0,0,0,0,0,110.0693004,0,0,110.0693004,0,6934.365926,5.503465021,330.2079013,0,0,0,0,0,0,0,0,0,0,0,0,0,5.503465021,0,5.503465021,0,0,0,0,0,0,0,0,2.201386008
9,42819,UKC11_59,UK,54.53996495,-1.415409323,12,4130.122874,183.1256878,549.3770635,0,0,1839.497534,0,549.3770635,0,0,0,0,0,0,0,0,0,0,0,0,0,183.1256878,0,0,183.1256878,0,11536.91833,9.156284391,549.3770635,0,0,0,0,0,0,0,0,0,0,0,0,0,9.156284391,0,9.156284391,0,0,0,0,0,0,0,0,3.662513757
