Export MPAN / MSID,Import MPAN / MSID,Customer Name ,Customer Site ,Address Line 1,Address Line 2,Town/ City ,County ,Postcode ,Country,"Location (X-coordinate):
Eastings (where data is held)","Location (y-coordinate):
Northings (where data is held)",Grid Supply Point,Bulk Supply Point,Primary,"Point of Connection (POC)
Voltage (kV)",Licence Area ,Energy Source 1,Energy Conversion Technology 1,CHP Cogeneration (Yes/No),Storage Capacity 1 (MWh),Storage Duration 1 (Hours),Energy Source & Energy Conversion Technology 1 - Registered Capacity (MW),Energy Source 2,Energy Conversion Technology 2,CHP Cogeneration 2 (Yes/No),Storage Capacity 2 (MWh),Storage Duration 2 (Hours),Energy Source & Energy Conversion Technology 2 - Registered Capacity (MW),Energy Source 3,Energy Conversion Technology 3,CHP Cogeneration 3 (Yes/No),Storage Capacity 3 (MWh),Storage Duration 3 (Hours),Energy Source & Energy Conversion Technology 3 - Registered Capacity (MW),Flexible Connection (Yes/No),Connection Status ,Already connected Registered Capacity (MW) ,Maximum Export Capacity (MW),Maximum Export Capacity (MVA),Maximum Import Capacity (MW),Maximum Import Capacity (MVA),Date Connected,Accepted to Connect Registered Capacity (MW),Change to Maximum Export Capacity (MW) ,Change to Maximum Export Capacity (MVA) ,Change to Maximum Import Capacity (MW) ,Change to Maximum Import Capacity (MVA) ,Date Accepted,Target Energisation Date,Distribution Service Provider (Y/N),Transmission Service Provider (Y/N),Reference,In a Connection Queue (Y/N),Distribution Reinforcement Reference,Transmission Reinforcement Reference,Last Updated,geopoint,Local Authority
2394000094475,Data Not Available,Grove Farm (Melbourne),Grove Farm (Melbourne),Grove Farm,Main Street,Melbourne,North Yorkshire,YO42 4SX,England,473718,444648,Creyke Beck,Driffield/Beverley Group,Sandhill Lane,0.4,Northern Powergrid (Yorkshire) plc,Wind,Onshore wind turbines,No,Data Not Applicable,Data Not Applicable,0.152,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,No,Connected,0.152,0.152,0.16,Data Not Available,Data Not Available,2012-06-19 00:00:00,Data Not Applicable,Data Not Applicable,0.16,Data Not Applicable,Data Not Applicable,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,2017-03-08T00:00:00+00:00,"53.892778855856925, -0.8797622065254445",East Riding of Yorkshire
2394000077902,Data Not Available,Magdalen Grange Farm,Magdalen Grange Farm,Magdalen Grange Farm,Carr Lane,Filey,North Yorkshire,YO14 9PD,England,508179,481229,Creyke Beck,Driffield/Beverley Group,Hunmanby,0.4,Northern Powergrid (Yorkshire) plc,Wind,Onshore wind turbines,No,Data Not Applicable,Data Not Applicable,0.086,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,No,Connected,0.086,0.086,0.091,Data Not Available,Data Not Available,2012-05-01 00:00:00,Data Not Applicable,Data Not Applicable,0.091,Data Not Applicable,Data Not Applicable,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,2017-03-08T00:00:00+00:00,"54.21538148518226, -0.3425604870353512",North Yorkshire
2394000125282,2394000127581,"Cansdale Farm, Wold Newton, Driffield, YO25 3HS","Cansdale Farm, Wold Newton, Driffield, YO25 3HS",Cansdale Farm,Wold Newton,Driffield,North Yorkshire,YO25 3HS,England,507599,474975,Creyke Beck,Driffield/Beverley Group,Hunmanby,0.4,Northern Powergrid (Yorkshire) plc,Solar,Photovoltaic,No,Data Not Applicable,Data Not Applicable,0.128,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,No,Connected,0.128,0.128,0.135,Data Not Available,Data Not Available,2015-10-16 00:00:00,Data Not Applicable,Data Not Applicable,0.135,Data Not Applicable,Data Not Applicable,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,2017-03-08T00:00:00+00:00,"54.15931968607178, -0.353684729119658",North Yorkshire
2394000110490,Data Not Available,Marton Manor Farm,Marton Manor Farm,Marton Manor Farm,Flamborough Road,Bridlington,North Yorkshire,YO15 1DU,England,520199,469910,Creyke Beck,Driffield/Beverley Group,Martongate,0.4,Northern Powergrid (Yorkshire) plc,Solar,Photovoltaic,No,Data Not Applicable,Data Not Applicable,0.2,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,No,Connected,0.2,0.2,0.211,Data Not Available,Data Not Available,2014-10-17 00:00:00,Data Not Applicable,Data Not Applicable,0.211,Data Not Applicable,Data Not Applicable,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,2017-03-08T00:00:00+00:00,"54.111030383795146, -0.16284235647917802",East Riding of Yorkshire
Data Not Applicable,Data Not Available,"East Riding Leisure Centre, Bridlington YO15 2QQ","East Riding Leisure Centre, Bridlington YO15 2QQ",East Riding Leisure,Data Not Available,Promenade,North Yorkshire,YO15 2QQ,England,518570,466963,Creyke Beck,Driffield/Beverley Group,Martongate,11.0,Northern Powergrid (Yorkshire) plc,Fossil - Gas,Steam turbine (thermal power plant),No,Data Not Applicable,Data Not Applicable,0.095,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,No,Accepted To Connect,Data Not Applicable,Data Not Applicable,Data Not Applicable,Data Not Applicable,Data Not Applicable,Data Not Applicable,0.095,0.095,0.1,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,2017-03-08T00:00:00+00:00,"54.084935085285615, -0.18890069938873108",East Riding of Yorkshire
2394000125663,Data Not Available,"Thorpefield Farm, Thorpe-le-Street, York, YO42 4LN","Thorpefield Farm, Thorpe-le-Street, York, YO42 4LN",Thorpefield Farm,Thorpe Le Street,York,North Yorkshire,YO42 4LN,England,482640,444339,Creyke Beck,Driffield/Beverley Group,Hayton,0.4,Northern Powergrid (Yorkshire) plc,Solar,Photovoltaic,No,Data Not Applicable,Data Not Applicable,0.187,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,No,Connected,0.187,0.187,0.197,Data Not Available,Data Not Available,2015-12-01 00:00:00,Data Not Applicable,Data Not Applicable,0.197,Data Not Applicable,Data Not Applicable,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,2017-03-08T00:00:00+00:00,"53.88865927257812, -0.7441186742062759",East Riding of Yorkshire
2394000117500,Data Not Available,"J E Hartley Limited, Roth Hill Lane, Thorganby","J E Hartley Limited, Roth Hill Lane, Thorganby",Data Not Available,Roth Hill Lane,Selby,North Yorkshire,YO19 6DJ,England,466485,441048,Creyke Beck,Driffield/Beverley Group,Sandhill Lane,11.0,Northern Powergrid (Yorkshire) plc,Biofuel - Landfill gas,Steam turbine (thermal power plant),No,Data Not Applicable,Data Not Applicable,0.238,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,No,Connected,0.238,0.238,0.251,Data Not Available,Data Not Available,2014-12-03 00:00:00,Data Not Applicable,Data Not Applicable,0.251,Data Not Applicable,Data Not Applicable,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,2017-03-08T00:00:00+00:00,"53.861403842542224, -0.9905818973604517",North Yorkshire
2394000095112,Data Not Available,Wynham Farm,Wynham Farm,Wynham Farm,Wynham Lane,York,North Yorkshire,YO41 4BR,England,470781,446870,Creyke Beck,Driffield/Beverley Group,Sandhill Lane,0.4,Northern Powergrid (Yorkshire) plc,Wind,Onshore wind turbines,No,Data Not Applicable,Data Not Applicable,0.152,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,No,Connected,0.152,0.152,0.16,Data Not Available,Data Not Available,2012-11-12 00:00:00,Data Not Applicable,Data Not Applicable,0.16,Data Not Applicable,Data Not Applicable,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,2017-03-08T00:00:00+00:00,"53.913154755400846, -0.9239309992987758",East Riding of Yorkshire
2394000121153,Data Not Available,"Southfield Farm, Driffield","Southfield Farm, Driffield",Southfield Farm,Beverley Road,Driffield,North Yorkshire,YO25 8AD,England,513257,453626,Creyke Beck,Driffield/Beverley Group,Seaton,0.4,Northern Powergrid (Yorkshire) plc,Solar,Photovoltaic,No,Data Not Applicable,Data Not Applicable,0.143,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,No,Connected,0.143,0.143,0.151,Data Not Available,Data Not Available,2015-04-02 00:00:00,Data Not Applicable,Data Not Applicable,0.151,Data Not Applicable,Data Not Applicable,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,2017-03-08T00:00:00+00:00,"53.96631649464022, -0.27504517384631055",East Riding of Yorkshire
2394000103873,Data Not Available,Old Mill Caravan Park,Old Mill Caravan Park,Old Mill Caravan Park,Newsham Hill Lane,Bridlington,North Yorkshire,YO16 6XE,England,518904,471704,Creyke Beck,Driffield/Beverley Group,Martongate,0.4,Northern Powergrid (Yorkshire) plc,Solar,Photovoltaic,No,Data Not Applicable,Data Not Applicable,0.095,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,No,Connected,0.095,0.095,0.1,Data Not Available,Data Not Available,2013-12-19 00:00:00,Data Not Applicable,Data Not Applicable,0.1,Data Not Applicable,Data Not Applicable,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,2017-03-08T00:00:00+00:00,"54.127446407974276, -0.1819352753615647",East Riding of Yorkshire
